2026-04-23 14:35:32 [INFO] Loaded 611 raw traces
2026-04-23 14:35:32 [INFO] [trace_0] Quality score: 0.70
2026-04-23 14:35:32 [INFO] [trace_1] Quality score: 0.71
2026-04-23 14:35:32 [INFO] [trace_1] Error class: syntax_error
2026-04-23 14:35:32 [INFO] [trace_2] Quality score: 0.71
2026-04-23 14:35:32 [INFO] [trace_2] Error class: syntax_error
2026-04-23 14:35:32 [INFO] [trace_3] Quality score: 0.41
2026-04-23 14:35:32 [INFO] [trace_4] Quality score: 0.57
2026-04-23 14:35:32 [INFO] [trace_4] Error class: syntax_error
2026-04-23 14:35:32 [INFO] [trace_5] Quality score: 0.78
2026-04-23 14:35:32 [INFO] [trace_5] Error class: tool_failure
2026-04-23 14:35:32 [INFO] [trace_6] Quality score: 0.50
2026-04-23 14:35:32 [INFO] [trace_7] Quality score: 0.72
2026-04-23 14:35:32 [INFO] [trace_7] Error class: reasoning_error
2026-04-23 14:35:32 [INFO] [trace_8] Quality score: 0.70
2026-04-23 14:35:32 [INFO] [trace_9] Quality score: 0.71
2026-04-23 14:35:32 [INFO] [trace_10] Quality score: 0.70
2026-04-23 14:35:32 [INFO] [trace_10] Error class: syntax_error
2026-04-23 14:35:32 [INFO] [trace_11] Quality score: 0.49
2026-04-23 14:35:32 [INFO] [trace_12] Quality score: 0.70
2026-04-23 14:35:32 [INFO] [trace_12] Error class: tool_failure
2026-04-23 14:35:32 [INFO] [trace_13] Quality score: 0.71
2026-04-23 14:35:32 [INFO] [trace_13] Error class: syntax_error
2026-04-23 14:35:32 [INFO] [trace_14] Quality score: 0.71
2026-04-23 14:35:32 [INFO] [trace_15] Quality score: 0.70
2026-04-23 14:35:32 [INFO] [trace_15] Error class: syntax_error
2026-04-23 14:35:32 [INFO] [trace_16] Quality score: 0.71
2026-04-23 14:35:32 [INFO] [trace_16] Error class: syntax_error
2026-04-23 14:35:32 [INFO] [trace_17] Quality score: 0.70
2026-04-23 14:35:32 [INFO] [trace_18] Quality score: 0.71
2026-04-23 14:35:32 [INFO] [trace_18] Error class: tool_failure
2026-04-23 14:35:32 [INFO] [trace_19] Quality score: 0.70
2026-04-23 14:35:32 [INFO] [trace_19] Error class: syntax_error
2026-04-23 14:35:32 [INFO] [trace_20] Quality score: 0.76
2026-04-23 14:35:32 [INFO] [trace_20] Error class: syntax_error
2026-04-23 14:35:32 [INFO] [trace_21] Quality score: 0.71
2026-04-23 14:35:32 [INFO] [trace_21] Error class: syntax_error
2026-04-23 14:35:32 [INFO] [trace_22] Quality score: 0.72
2026-04-23 14:35:32 [INFO] [trace_22] Error class: syntax_error
2026-04-23 14:35:32 [INFO] [trace_23] Quality score: 0.72
2026-04-23 14:35:32 [INFO] [trace_23] Error class: syntax_error
2026-04-23 14:35:32 [INFO] [trace_24] Quality score: 0.70
2026-04-23 14:35:32 [INFO] [trace_24] Error class: timeout_stall
2026-04-23 14:35:33 [INFO] [trace_25] Quality score: 0.86
2026-04-23 14:35:33 [INFO] [trace_26] Quality score: 0.41
2026-04-23 14:35:33 [INFO] [trace_27] Quality score: 0.70
2026-04-23 14:35:33 [INFO] [trace_27] Error class: syntax_error
2026-04-23 14:35:33 [INFO] [trace_28] Quality score: 0.70
2026-04-23 14:35:33 [INFO] [trace_28] Error class: syntax_error
2026-04-23 14:35:33 [INFO] [trace_29] Quality score: 0.68
2026-04-23 14:35:33 [INFO] [trace_30] Quality score: 0.40
2026-04-23 14:35:33 [INFO] [trace_31] Quality score: 0.70
2026-04-23 14:35:33 [INFO] [trace_31] Error class: syntax_error
2026-04-23 14:35:33 [INFO] [trace_32] Quality score: 0.77
2026-04-23 14:35:33 [INFO] [trace_33] Quality score: 0.72
2026-04-23 14:35:33 [INFO] [trace_33] Error class: syntax_error
2026-04-23 14:35:33 [INFO] [trace_34] Quality score: 0.72
2026-04-23 14:35:33 [INFO] [trace_34] Error class: timeout_stall
2026-04-23 14:35:33 [INFO] [trace_35] Quality score: 0.52
2026-04-23 14:35:33 [INFO] [trace_36] Quality score: 0.43
2026-04-23 14:35:33 [INFO] [trace_37] Quality score: 0.72
2026-04-23 14:35:33 [INFO] [trace_37] Error class: tool_failure
2026-04-23 14:35:33 [INFO] [trace_38] Quality score: 0.73
2026-04-23 14:35:33 [INFO] [trace_39] Quality score: 0.69
2026-04-23 14:35:33 [INFO] [trace_39] Error class: syntax_error
2026-04-23 14:35:33 [INFO] [trace_40] Quality score: 0.71
2026-04-23 14:35:33 [INFO] [trace_41] Quality score: 0.70
2026-04-23 14:35:33 [INFO] [trace_41] Error class: tool_failure
2026-04-23 14:35:33 [INFO] [trace_42] Quality score: 0.71
2026-04-23 14:35:33 [INFO] [trace_43] Quality score: 0.71
2026-04-23 14:35:33 [INFO] [trace_44] Quality score: 0.71
2026-04-23 14:35:33 [INFO] [trace_44] Error class: timeout_stall
2026-04-23 14:35:33 [INFO] [trace_45] Quality score: 0.49
2026-04-23 14:35:33 [INFO] [trace_46] Quality score: 0.56
2026-04-23 14:35:34 [INFO] [trace_47] Quality score: 0.70
2026-04-23 14:35:34 [INFO] [trace_47] Error class: syntax_error
2026-04-23 14:35:34 [INFO] [trace_48] Quality score: 0.70
2026-04-23 14:35:34 [INFO] [trace_48] Error class: syntax_error
2026-04-23 14:35:34 [INFO] [trace_49] Quality score: 0.55
2026-04-23 14:35:34 [INFO] [trace_50] Quality score: 0.56
2026-04-23 14:35:34 [INFO] [trace_51] Quality score: 0.61
2026-04-23 14:35:34 [INFO] [trace_51] Error class: syntax_error
2026-04-23 14:35:34 [INFO] [trace_52] Quality score: 0.59
2026-04-23 14:35:34 [INFO] [trace_53] Quality score: 0.72
2026-04-23 14:35:34 [INFO] [trace_53] Error class: syntax_error
2026-04-23 14:35:34 [INFO] [trace_54] Quality score: 0.69
2026-04-23 14:35:34 [INFO] [trace_55] Quality score: 0.70
2026-04-23 14:35:34 [INFO] [trace_56] Quality score: 0.70
2026-04-23 14:35:34 [INFO] [trace_56] Error class: syntax_error
2026-04-23 14:35:34 [INFO] [trace_57] Quality score: 0.70
2026-04-23 14:35:34 [INFO] [trace_57] Error class: syntax_error
2026-04-23 14:35:34 [INFO] [trace_58] Quality score: 0.77
2026-04-23 14:35:34 [INFO] [trace_58] Error class: syntax_error
2026-04-23 14:35:34 [INFO] [trace_59] Quality score: 0.71
2026-04-23 14:35:34 [INFO] [trace_59] Error class: reasoning_error
2026-04-23 14:35:34 [INFO] [trace_60] Quality score: 0.69
2026-04-23 14:35:34 [INFO] [trace_60] Error class: syntax_error
2026-04-23 14:35:34 [INFO] [trace_61] Quality score: 0.71
2026-04-23 14:35:34 [INFO] [trace_61] Error class: syntax_error
2026-04-23 14:35:34 [INFO] [trace_62] Quality score: 0.74
2026-04-23 14:35:34 [INFO] [trace_62] Error class: syntax_error
2026-04-23 14:35:35 [INFO] [trace_63] Quality score: 0.66
2026-04-23 14:35:35 [INFO] [trace_63] Error class: timeout_stall
2026-04-23 14:35:35 [INFO] [trace_64] Quality score: 0.49
2026-04-23 14:35:35 [INFO] [trace_65] Quality score: 0.50
2026-04-23 14:35:35 [INFO] [trace_66] Quality score: 0.74
2026-04-23 14:35:35 [INFO] [trace_67] Quality score: 0.72
2026-04-23 14:35:35 [INFO] [trace_67] Error class: syntax_error
2026-04-23 14:35:35 [INFO] [trace_68] Quality score: 0.72
2026-04-23 14:35:35 [INFO] [trace_69] Quality score: 0.69
2026-04-23 14:35:35 [INFO] [trace_70] Quality score: 0.68
2026-04-23 14:35:35 [INFO] [trace_71] Quality score: 0.77
2026-04-23 14:35:35 [INFO] [trace_71] Error class: timeout_stall
2026-04-23 14:35:35 [INFO] [trace_72] Quality score: 0.70
2026-04-23 14:35:35 [INFO] [trace_73] Quality score: 0.71
2026-04-23 14:35:35 [INFO] [trace_73] Error class: syntax_error
2026-04-23 14:35:36 [INFO] [trace_74] Quality score: 0.62
2026-04-23 14:35:36 [INFO] [trace_75] Quality score: 0.42
2026-04-23 14:35:36 [INFO] [trace_76] Quality score: 0.70
2026-04-23 14:35:36 [INFO] [trace_76] Error class: syntax_error
2026-04-23 14:35:36 [INFO] [trace_77] Quality score: 0.67
